objno_deep2,z_pred
11045168,1.040706638831711
12016592,0.4546153768098061
11007873,0.4888416404883714
13063785,0.5950009625269466
13011113,0.4906410466138593
14016865,0.7175403207754443
11045186,0.5030730588907393
14034659,0.43217401126605426
12024884,0.7813488780918267
12015938,1.1472041767186356
14011284,0.7014042964814482
11031171,0.2833913387622654
13010923,0.7131174346445548
12008251,1.2056319808441758
13035874,1.040888598475603
12012513,0.5671716134917367
13003434,0.7345535136412238
14018687,0.6373520231071825
12005419,0.9104777098936888
13049865,0.6859383099480769
12024755,1.4503080318599453
14006846,0.5101951671284313
14023227,0.5270315587133308
11027394,0.8541283535263144
11033559,0.4820938692302984
14006887,0.41972064859869446
12019713,0.49105220816037237
12019135,0.6946128695381185
13040908,0.481516582412649
13101049,0.7168528091632211
11047070,0.5631174991883995
14016263,0.5080218937654039
13020587,0.24403923051686124
12012782,0.5088528513278042
12101118,0.784154509996265
13020535,0.2844106478998487
12028551,0.7656690815081775
14012641,1.0141701232271727
13025271,0.7194374496645369
14006544,0.6622148559785185
13011059,0.7423435161758409
13055576,0.9526826354510147
13025832,0.6533011359829028
12012068,0.7087134813628166
13063861,0.44645915651329315
11052736,0.49427408818959273
12012433,0.4190624622619311
14022965,0.8022807075098062
11046356,0.7345703774828775
14027841,0.45881789163416775
11014351,0.972058078126474
14034483,0.38698179436932134
12004443,0.7008427174134217
12025024,0.5092447053175355
13010951,0.6574228430548557
13063832,1.3305868308641182
12024917,0.37915923642328164
11051726,0.8692307336433472
13057557,0.7145814009402338
14027397,0.7127490787756935
11044350,1.137368260558438
12019902,1.3475065391049514
11044680,0.7279539738999756
13027445,0.3740220980244912
13017202,0.785066233269681
12012794,0.7021774391250476
13027139,0.7716624333678235
12027358,1.19233827320622
11040228,0.7522890249951524
11050883,0.9526826354510147
14100756,1.04265740554199
14007996,0.5517657438443225
12023622,1.0889247691939437
13040065,0.7219947396796224
12100758,1.2513394792431851
12007196,0.6310193589382319
12015118,1.3086469859920018
13016341,0.7145049519849721
13056000,0.5986908149905106
13057505,0.9009289175335788
13003385,0.29245999819473334
11051235,0.5674523866496348
11038382,1.2712118850878928
12020279,0.9490414226492621
12025532,0.9122662684899239
13036413,0.3819283985063769
